date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:38:11	4224/4224	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Jan%202023%2012:26:05%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/front-js.js?ver=3.9	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/weglot/dist/front-js7868.js	(from https://www.granatensistraduccion.com/)
09:38:13	4167/4167	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2008:38:12%20GMT	https://www.granatensistraduccion.com/wp-json/wp/v2/pages/2	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/wp/v2/pages/2.json	(from https://www.granatensistraduccion.com/)
09:38:13	248967/248967	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2008:38:12%20GMT	https://www.granatensistraduccion.com/wp-json/	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/index.html	(from https://www.granatensistraduccion.com/)
09:38:14	888/888	---MCZ	200	added ('OK')	text/xml	date:Thu,%2026%20Jan%202023%2008:38:14%20GMT	https://www.granatensistraduccion.com/xmlrpc.php?rsd	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/xmlrpc0db0.php	(from https://www.granatensistraduccion.com/)
09:38:14	1045/1045	---MCZ	200	added ('OK')	text/xml	date:Wed,%2021%20Dec%202022%2010:54:18%20GMT	https://www.granatensistraduccion.com/wp-includes/wlwmanifest.xml	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-includes/wlwmanifest.xml	(from https://www.granatensistraduccion.com/)
09:38:16	2696/2696	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2008:38:16%20GMT	https://www.granatensistraduccion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.granatensistraduccion.com%2F	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/oembed/1.0/embed5685.json	(from https://www.granatensistraduccion.com/)
09:38:17	2767/2767	---MCZ	200	added ('OK')	text/xml	date:Thu,%2026%20Jan%202023%2008:38:17%20GMT	https://www.granatensistraduccion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.granatensistraduccion.com%2F&format=xml	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/oembed/1.0/embede56e	(from https://www.granatensistraduccion.com/)
09:38:18	415683/415683	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Jan%202023%2011:33:03%20GMT	https://granatensistraduccion.000webhostapp.com/wp-content/uploads/2023/01/header1_bn_80.png	/Users/lleoun/websites/granatensis/granatensistraduccion.000webhostapp.com/wp-content/uploads/2023/01/header1_bn_80.png	(from https://www.granatensistraduccion.com/)
09:38:18	3851/3851	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Jan%202023%2010:39:38%20GMT	https://www.granatensistraduccion.com/wp-content/uploads/2023/01/favicon.png	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/uploads/2023/01/favicon.png	(from https://www.granatensistraduccion.com/)
09:38:19	96329/96329	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202023%2008:38:18%20GMT	https://www.granatensistraduccion.com/fr/	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/fr/index.html	(from https://www.granatensistraduccion.com/)
09:38:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Jan%202023%2008:38:20%20GMT	https://www.granatensistraduccion.com/contacto	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/contacto	(from https://www.granatensistraduccion.com/)
09:38:21	95386/95386	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202023%2008:38:21%20GMT	https://www.granatensistraduccion.com/quienes-somos/	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/quienes-somos/index.html	(from https://www.granatensistraduccion.com/)
09:38:21	97639/97639	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202023%2008:38:21%20GMT	https://www.granatensistraduccion.com/contacto/	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/contacto/index.html	(from https://www.granatensistraduccion.com/)
09:38:22	10565/10565	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2019%20Jan%202023%2016:19:57%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=5.7.2	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/contact-form-7/includes/swv/js/index9f31.js	(from https://www.granatensistraduccion.com/)
09:38:23	12652/12652	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2019%20Jan%202023%2016:19:57%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/contact-form-7/includes/js/index.js?ver=5.7.2	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/contact-form-7/includes/js/index9f31.js	(from https://www.granatensistraduccion.com/)
09:38:23	97661/97661	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202023%2008:38:23%20GMT	https://www.granatensistraduccion.com/politica-de-privacidad/	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/politica-de-privacidad/index.html	(from https://www.granatensistraduccion.com/)
09:38:24	7116/7116	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2019%20Jan%202023%2009:29:49%20GMT	https://www.granatensistraduccion.com/wp-content/themes/neve/assets/js/build/modern/frontend.js?ver=3.4.10	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/themes/neve/assets/js/build/modern/frontend3d9c.js	(from https://www.granatensistraduccion.com/)
09:38:25	884/884	---MC-	200	added ('OK')	text/javascript	date:Thu,%2026%20Jan%202023%2008:38:24%20GMT	https://www.google.com/recaptcha/api.js?render=6LfO7BwkAAAAADu0qaivG1faADylVvOdr-Oz8T_d&ver=3.0	/Users/lleoun/websites/granatensis/www.google.com/recaptcha/apice69.js	(from https://www.granatensistraduccion.com/)
09:38:26	6475/6475	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2022%20Dec%202022%2008:17:06%20GMT	https://www.granatensistraduccion.com/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.9	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-includes/js/dist/vendor/regenerator-runtime.min3937.js	(from https://www.granatensistraduccion.com/)
09:38:27	17823/17823	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2022%20Dec%202022%2008:17:13%20GMT	https://www.granatensistraduccion.com/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://www.granatensistraduccion.com/)
09:38:28	999/999	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2019%20Jan%202023%2016:19:57%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/contact-form-7/modules/recaptcha/index.js?ver=5.7.2	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/contact-form-7/modules/recaptcha/index9f31.js	(from https://www.granatensistraduccion.com/)
09:38:28	2046/2046	---M--	200	added ('OK')	image/png	etag:%2263c944bf-7fe%22	https://cdn.000webhost.com/000webhost/logo/footer-powered-by-000webhost-white2.png	/Users/lleoun/websites/granatensis/cdn.000webhost.com/000webhost/logo/footer-powered-by-000webhost-white2.png	(from https://www.granatensistraduccion.com/)
09:38:29	25/25	---M--	200	added ('OK')	text/plain	etag:%227f564a4-19-3ef0a6a1b08c0%22	http://gmpg.org/robots.txt		(from https://www.granatensistraduccion.com/)
09:38:30	2067/2067	---M-Z	200	added ('OK')	text/css	etag:%2264e18331-813-3ef0a663b3680-gzip%22	http://gmpg.org/xfn/default.css	/Users/lleoun/websites/granatensis/gmpg.org/xfn/default.css	(from http://gmpg.org/xfn/11)
09:38:31	4170/4170	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202023%2008:38:31%20GMT	http://gmpg.org/xfn/.	/Users/lleoun/websites/granatensis/gmpg.org/xfn/.html	(from http://gmpg.org/xfn/11)
09:38:32	16269/16269	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202023%2008:38:32%20GMT	http://gmpg.org/xfn/intro	/Users/lleoun/websites/granatensis/gmpg.org/xfn/intro.html	(from http://gmpg.org/xfn/11)
09:38:33	7342/7342	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202023%2008:38:33%20GMT	http://gmpg.org/xfn/faq	/Users/lleoun/websites/granatensis/gmpg.org/xfn/faq.html	(from http://gmpg.org/xfn/11)
09:38:34	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202023%2008:38:34%20GMT	http://www.googletagmanager.com/robots.txt		(from https://www.granatensistraduccion.com/)
09:38:35	0/0	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2026%20Jan%202023%2008:38:34%20GMT	https://www.granatensistraduccion.com/xmlrpc.php	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/xmlrpc.html	(from https://www.granatensistraduccion.com/)
09:38:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Jan%202023%2008:38:36%20GMT	https://www.granatensistraduccion.com/fr/contacto	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/fr/contacto	(from https://www.granatensistraduccion.com/fr/)
09:38:37	95646/95646	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202023%2008:38:37%20GMT	https://www.granatensistraduccion.com/fr/quienes-somos/	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/fr/quienes-somos/index.html	(from https://www.granatensistraduccion.com/fr/)
09:38:37	97793/97793	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202023%2008:38:37%20GMT	https://www.granatensistraduccion.com/fr/contacto/	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/fr/contacto/index.html	(from https://www.granatensistraduccion.com/fr/)
09:38:38	4024/4024	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2008:38:38%20GMT	https://www.granatensistraduccion.com/wp-json/wp/v2/pages/52	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/wp/v2/pages/52.json	(from https://www.granatensistraduccion.com/quienes-somos/)
09:38:38	98146/98146	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202023%2008:38:38%20GMT	https://www.granatensistraduccion.com/fr/politica-de-privacidad/	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/fr/politica-de-privacidad/index.html	(from https://www.granatensistraduccion.com/fr/)
09:38:40	2486/2486	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2008:38:39%20GMT	https://www.granatensistraduccion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.granatensistraduccion.com%2Fquienes-somos%2F	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/oembed/1.0/embed8af7.json	(from https://www.granatensistraduccion.com/quienes-somos/)
09:38:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Jan%202023%2008:38:39%20GMT	https://www.granatensistraduccion.com/?p=52	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/index4579.html	(from https://www.granatensistraduccion.com/quienes-somos/)
09:38:41	2555/2555	---MCZ	200	added ('OK')	text/xml	date:Thu,%2026%20Jan%202023%2008:38:41%20GMT	https://www.granatensistraduccion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.granatensistraduccion.com%2Fquienes-somos%2F&format=xml	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/oembed/1.0/embeded13	(from https://www.granatensistraduccion.com/quienes-somos/)
09:38:42	6359/6359	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2008:38:41%20GMT	https://www.granatensistraduccion.com/wp-json/wp/v2/pages/26	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/wp/v2/pages/26.json	(from https://www.granatensistraduccion.com/contacto/)
09:38:43	2446/2446	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2008:38:42%20GMT	https://www.granatensistraduccion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.granatensistraduccion.com%2Fcontacto%2F	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/oembed/1.0/embed5b05.json	(from https://www.granatensistraduccion.com/contacto/)
09:38:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Jan%202023%2008:38:43%20GMT	https://www.granatensistraduccion.com/?p=26	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/index88b9.html	(from https://www.granatensistraduccion.com/contacto/)
09:38:45	2515/2515	---MCZ	200	added ('OK')	text/xml	date:Thu,%2026%20Jan%202023%2008:38:45%20GMT	https://www.granatensistraduccion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.granatensistraduccion.com%2Fcontacto%2F&format=xml	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/oembed/1.0/embed6f40	(from https://www.granatensistraduccion.com/contacto/)
09:38:45	4699/4699	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202023%2008:38:45%20GMT	https://www.granatensistraduccion.com/cdn-cgi/l/email-protection	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/cdn-cgi/l/email-protection.html	(from https://www.granatensistraduccion.com/contacto/)
09:38:46	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263c1ea70-4d7%22	https://www.granatensistraduccion.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.granatensistraduccion.com/contacto/)
09:38:48	4256/4256	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2008:38:48%20GMT	https://www.granatensistraduccion.com/wp-json/wp/v2/pages/15	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/wp/v2/pages/15.json	(from https://www.granatensistraduccion.com/politica-de-privacidad/)
09:38:49	2531/2531	---MCZ	200	added ('OK')	application/json	date:Thu,%2026%20Jan%202023%2008:38:49%20GMT	https://www.granatensistraduccion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.granatensistraduccion.com%2Fpolitica-de-privacidad%2F	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/oembed/1.0/embed88c4.json	(from https://www.granatensistraduccion.com/politica-de-privacidad/)
09:38:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Jan%202023%2008:38:49%20GMT	https://www.granatensistraduccion.com/?p=15	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/indexa1ca.html	(from https://www.granatensistraduccion.com/politica-de-privacidad/)
09:38:51	2600/2600	---MCZ	200	added ('OK')	text/xml	date:Thu,%2026%20Jan%202023%2008:38:50%20GMT	https://www.granatensistraduccion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.granatensistraduccion.com%2Fpolitica-de-privacidad%2F&format=xml	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/oembed/1.0/embed14e1	(from https://www.granatensistraduccion.com/politica-de-privacidad/)
09:38:52	0/0	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2026%20Jan%202023%2008:38:52%20GMT	https://www.granatensistraduccion.com/xmlrpc.php	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/xmlrpc.html	(from https://www.granatensistraduccion.com/)
09:38:52	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202023%2008:38:52%20GMT	http://www.googletagmanager.com/robots.txt		(from https://www.granatensistraduccion.com/)
09:38:53	838/838	--F---	200	added ('OK%20(cached)')	text/html		https://www.granatensistraduccion.com/comments/feed/	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/comments/feed/index.html	(from https://www.granatensistraduccion.com/)
09:38:53	904/904	--F---	200	added ('OK%20(cached)')	text/html		https://www.granatensistraduccion.com/pagina-ejemplo/feed/	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/pagina-ejemplo/feed/index.html	(from https://www.granatensistraduccion.com/)
09:38:53	1179/1179	--F---	200	added ('OK%20(cached)')	text/html		https://www.granatensistraduccion.com/feed/	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/feed/index.html	(from https://www.granatensistraduccion.com/)
09:38:54	17651/17651	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20Jan%202023%2010:13:15%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/cookie-law-info/lite/frontend/js/script.min.js?ver=3.0.8	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/cookie-law-info/lite/frontend/js/script.min6173.js	(from https://www.granatensistraduccion.com/)
09:38:55	4224/4224	UR-MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Jan%202023%2012:26:05%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/front-js.js?ver=3.9	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/weglot/dist/front-js7868.js	(from https://www.granatensistraduccion.com/)
09:38:55	56564/56564	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2021%20Dec%202022%2010:56:59%20GMT	https://www.granatensistraduccion.com/wp-includes/fonts/dashicons.eot?99ac726223c749443b642ce33df8b800	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-includes/fonts/dashicons7d4b.eot	(from https://www.granatensistraduccion.com/wp-includes/css/dashicons.min.css?ver=6.1.1)
09:38:59	5712/5712	UR-MC-	416	error ('Range%20Not%20Satisfiable')	text/html	date:Thu,%2026%20Jan%202023%2008:38:57%20GMT	https://www.granatensistraduccion.com/wp-includes/wlwmanifest.xml	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-includes/wlwmanifest.xml	(from https://www.granatensistraduccion.com/)
09:38:59	5712/5712	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2026%20Jan%202023%2008:38:58%20GMT	https://granatensistraduccion.000webhostapp.com/wp-content/uploads/2023/01/header1_bn_80.png	/Users/lleoun/websites/granatensis/granatensistraduccion.000webhostapp.com/wp-content/uploads/2023/01/header1_bn_80.png	(from https://www.granatensistraduccion.com/)
09:39:00	5712/5712	UR-MC-	416	error ('Range%20Not%20Satisfiable')	text/html	date:Thu,%2026%20Jan%202023%2008:38:58%20GMT	https://www.granatensistraduccion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.granatensistraduccion.com%2F&format=xml	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/oembed/1.0/embede56e	(from https://www.granatensistraduccion.com/)
09:39:00	5712/5712	UR-MC-	416	error ('Range%20Not%20Satisfiable')	text/html	date:Thu,%2026%20Jan%202023%2008:38:58%20GMT	https://www.granatensistraduccion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.granatensistraduccion.com%2F	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-json/oembed/1.0/embed5685.json	(from https://www.granatensistraduccion.com/)
09:39:01	10565/10565	UR-MCZ	200	added ('OK')	application/javascript	date:Thu,%2019%20Jan%202023%2016:19:57%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=5.7.2	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/contact-form-7/includes/swv/js/index9f31.js	(from https://www.granatensistraduccion.com/)
09:39:01	884/884	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://www.google.com/recaptcha/api.js?render=6LfO7BwkAAAAADu0qaivG1faADylVvOdr-Oz8T_d&ver=3.0	/Users/lleoun/websites/granatensis/www.google.com/recaptcha/apice69.js	(from https://www.granatensistraduccion.com/)
09:39:01	7117/7117	UR-MCZ	200	added ('OK')	application/javascript	date:Thu,%2019%20Jan%202023%2009:29:49%20GMT	https://www.granatensistraduccion.com/wp-content/themes/neve/assets/js/build/modern/frontend.js?ver=3.4.10	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/themes/neve/assets/js/build/modern/frontend3d9c.js	(from https://www.granatensistraduccion.com/)
09:39:01	12652/12652	UR-MCZ	200	added ('OK')	application/javascript	date:Thu,%2019%20Jan%202023%2016:19:57%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/contact-form-7/includes/js/index.js?ver=5.7.2	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/contact-form-7/includes/js/index9f31.js	(from https://www.granatensistraduccion.com/)
09:39:01	164/164	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202023%2012:26:05%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/images/wgarrowdown.png	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/weglot/dist/images/wgarrowdown.png	(from https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/css/front-css.css?ver=3.9)
09:39:02	999/999	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://www.granatensistraduccion.com/wp-content/plugins/contact-form-7/modules/recaptcha/index.js?ver=5.7.2	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/contact-form-7/modules/recaptcha/index9f31.js	(from https://www.granatensistraduccion.com/)
